Attack,Clean Acc,Adv Acc,Drop,Clean Conf,Adv Conf
FGSM,47.7,34.5,13.2,0.4595103645324707,0.32820921325683594
BIM,47.7,35.6,12.1,0.4595103645324707,0.3398641471862793
PGD,47.7,38.8,8.9,0.4595103645324707,0.35777513122558596
CW,47.7,47.1,0.6,0.4595103645324707,0.44340216827392576
