Attack,Clean Acc,Adv Acc,Drop,Clean Conf,Adv Conf
FGSM,57.6,20.1,37.5,0.5550502853393555,0.20042269706726074
BIM,57.6,17.1,40.5,0.5550502853393555,0.17216627883911134
PGD,57.6,20.7,36.9,0.5550502853393555,0.20586157989501952
CW,57.6,52.8,4.8,0.5550502853393555,0.5135071983337403
