Attack,Clean Acc,Adv Acc,Drop,Clean Conf,Adv Conf
FGSM,63.1,4.2,58.9,0.604443000793457,0.04483016955852508
BIM,63.1,0.0,63.1,0.604443000793457,6.505740305528063e-06
PGD,63.1,0.1,63.0,0.604443000793457,0.0007146855414378983
CW,63.1,1.4,61.7,0.604443000793457,0.07601513814926147
