Model,Model Seed,Evaluation,Attack,Attack Source Seed,Accuracy
activation_block1,44,transfer,fgsm,45,0.2897
activation_block1,44,transfer,pgd10,45,0.243
activation_block1,44,transfer,fgsm,46,0.2714
activation_block1,44,transfer,pgd10,46,0.2204
parameters_block1,44,clean,clean,,0.8605
parameters_block1,44,whitebox,fgsm,44,0.0594
parameters_block1,44,whitebox,pgd10,44,0.0011
parameters_block1,44,whitebox,pgd50,44,0.0004
parameters_block1,44,transfer,fgsm,42,0.2413
parameters_block1,44,transfer,pgd10,42,0.2074
parameters_block1,44,transfer,fgsm,43,0.2606
parameters_block1,44,transfer,pgd10,43,0.2662
parameters_block1,44,transfer,fgsm,45,0.2494
parameters_block1,44,transfer,pgd10,45,0.241
parameters_block1,44,transfer,fgsm,46,0.2377
parameters_block1,44,transfer,pgd10,46,0.2367
parameters_blocks,44,clean,clean,,0.859
parameters_blocks,44,whitebox,fgsm,44,0.0586
parameters_blocks,44,whitebox,pgd10,44,0.0003
parameters_blocks,44,whitebox,pgd50,44,0.0
parameters_blocks,44,transfer,fgsm,42,0.2459
parameters_blocks,44,transfer,pgd10,42,0.1895
parameters_blocks,44,transfer,fgsm,43,0.2576
parameters_blocks,44,transfer,pgd10,43,0.2305
parameters_blocks,44,transfer,fgsm,45,0.2632
parameters_blocks,44,transfer,pgd10,45,0.2238
parameters_blocks,44,transfer,fgsm,46,0.2508
parameters_blocks,44,transfer,pgd10,46,0.1985
baseline,45,clean,clean,,0.859
baseline,45,whitebox,fgsm,45,0.0389
baseline,45,whitebox,pgd10,45,0.0002
baseline,45,whitebox,pgd50,45,0.0
baseline,45,transfer,fgsm,42,0.2665
baseline,45,transfer,pgd10,42,0.224
baseline,45,transfer,fgsm,43,0.2749
baseline,45,transfer,pgd10,43,0.2676
baseline,45,transfer,fgsm,44,0.284
baseline,45,transfer,pgd10,44,0.2541
baseline,45,transfer,fgsm,46,0.2672
baseline,45,transfer,pgd10,46,0.2401
activation_block1,45,clean,clean,,0.858
activation_block1,45,whitebox,fgsm,45,0.0573
activation_block1,45,whitebox,pgd10,45,0.0006
activation_block1,45,whitebox,pgd50,45,0.0
activation_block1,45,transfer,fgsm,42,0.2355
activation_block1,45,transfer,pgd10,42,0.2296
activation_block1,45,transfer,fgsm,43,0.2452
activation_block1,45,transfer,pgd10,43,0.2724
activation_block1,45,transfer,fgsm,44,0.2499
activation_block1,45,transfer,pgd10,44,0.2579
activation_block1,45,transfer,fgsm,46,0.2395
activation_block1,45,transfer,pgd10,46,0.2456
parameters_block1,45,clean,clean,,0.8606
parameters_block1,45,whitebox,fgsm,45,0.0527
parameters_block1,45,whitebox,pgd10,45,0.0004
parameters_block1,45,whitebox,pgd50,45,0.0002
parameters_block1,45,transfer,fgsm,42,0.2618
parameters_block1,45,transfer,pgd10,42,0.2071
parameters_block1,45,transfer,fgsm,43,0.2936
parameters_block1,45,transfer,pgd10,43,0.272
parameters_block1,45,transfer,fgsm,44,0.2843
parameters_block1,45,transfer,pgd10,44,0.2409
parameters_block1,45,transfer,fgsm,46,0.2594
parameters_block1,45,transfer,pgd10,46,0.2227
parameters_blocks,45,clean,clean,,0.8597
parameters_blocks,45,whitebox,fgsm,45,0.0448
parameters_blocks,45,whitebox,pgd10,45,0.0005
parameters_blocks,45,whitebox,pgd50,45,0.0001
parameters_blocks,45,transfer,fgsm,42,0.2707
parameters_blocks,45,transfer,pgd10,42,0.2376
parameters_blocks,45,transfer,fgsm,43,0.2899
parameters_blocks,45,transfer,pgd10,43,0.2848
parameters_blocks,45,transfer,fgsm,44,0.2875
parameters_blocks,45,transfer,pgd10,44,0.2489
parameters_blocks,45,transfer,fgsm,46,0.2762
parameters_blocks,45,transfer,pgd10,46,0.2379
baseline,46,clean,clean,,0.8549
baseline,46,whitebox,fgsm,46,0.0357
baseline,46,whitebox,pgd10,46,0.0008
baseline,46,whitebox,pgd50,46,0.0005
baseline,46,transfer,fgsm,42,0.2209
baseline,46,transfer,pgd10,42,0.2083
baseline,46,transfer,fgsm,43,0.2399
baseline,46,transfer,pgd10,43,0.2534
baseline,46,transfer,fgsm,44,0.245
baseline,46,transfer,pgd10,44,0.2377
baseline,46,transfer,fgsm,45,0.2373
baseline,46,transfer,pgd10,45,0.2413
activation_block1,46,clean,clean,,0.8588
activation_block1,46,whitebox,fgsm,46,0.058
activation_block1,46,whitebox,pgd10,46,0.0013
activation_block1,46,whitebox,pgd50,46,0.0002
activation_block1,46,transfer,fgsm,42,0.2206
activation_block1,46,transfer,pgd10,42,0.2158
activation_block1,46,transfer,fgsm,43,0.2349
activation_block1,46,transfer,pgd10,43,0.2617
activation_block1,46,transfer,fgsm,44,0.2446
activation_block1,46,transfer,pgd10,44,0.2446
activation_block1,46,transfer,fgsm,45,0.2404
activation_block1,46,transfer,pgd10,45,0.246
