Attack,Clean Acc,Adv Acc,Drop,Clean Conf,Adv Conf
FGSM,94.5,9.1,85.4,0.942989,0.093258
BIM,94.5,0.0,94.5,0.942989,0.0
PGD,94.5,0.0,94.5,0.942989,0.0
CW,94.5,0.2,94.3,0.942989,0.063691
