Attack,Clean Acc,Adv Acc,Drop,Clean Conf,Adv Conf
FGSM,74.8,48.9,25.9,0.728224,0.469948
BIM,74.8,17.2,57.6,0.728224,0.161588
PGD,74.8,15.4,59.4,0.728224,0.153551
CW,74.8,2.3,72.5,0.728224,0.239583
