Attack,Clean Acc,Adv Acc,Drop,Clean Conf,Adv Conf
FGSM,91.2,59.0,32.2,0.911302,0.579919
BIM,91.2,13.1,78.1,0.911302,0.129679
PGD,91.2,11.0,80.2,0.911302,0.109052
CW,91.2,8.3,82.9,0.911302,0.231088
