Attack,Clean Acc,Adv Acc,Drop,Clean Conf,Adv Conf
FGSM,91.2,55.3,35.9,0.911302,0.546503
BIM,91.2,33.3,57.9,0.911302,0.336887
PGD,91.2,35.2,56.0,0.911302,0.346346
CW,91.2,86.2,5.0,0.911302,0.853629
