name,seeds,clean_accuracy_mean,clean_accuracy_std,fgsm_accuracy_mean,fgsm_accuracy_std,pgd_accuracy_mean,pgd_accuracy_std
axon_002,3,0.7428944789284548,0.0006533812479581624,0.022868343678536424,0.0011778997959699421,0.0,0.0
baseline,3,0.7436567570510726,0.0013203044378724256,0.022977240553196124,0.0004990281710721828,0.0,0.0
combined_low,3,0.7430033758031146,0.002739789965242103,0.019601437438745508,0.0011778997959699404,0.0,0.0
contrast_p010_a001,3,0.7453991070456277,0.0014731296154272722,0.022214962430578244,0.0016975342772645003,0.0,0.0
dendrite_002,3,0.7455080039202876,0.002466460122597425,0.022868343678536424,0.0008643421467051928,0.0,0.0
lateral_005,3,0.742132200805837,0.002778471266943965,0.022432756179897637,0.002175213367683566,0.0,0.0
pyramidal_002,3,0.7424588914298159,0.002363338169902084,0.022977240553196124,0.002100326856363489,0.0,0.0
