name,seed,clean_accuracy,baseline_fgsm_accuracy,baseline_pgd_accuracy
axon_002,43,0.743547860176413,0.023848415550473703,0.0
baseline,43,0.7428944789284547,0.02352172492649461,0.0
combined_low,43,0.7412610258085593,0.026135249918327344,0.0
contrast_p010_a001,43,0.743874550800392,0.024175106174452794,0.0
dendrite_002,43,0.7451813132963084,0.02548186867036916,0.0
lateral_005,43,0.7442012414243712,0.026135249918327344,0.0
pyramidal_002,43,0.7409343351845802,0.026135249918327344,0.0
